id,name,type_id,category_id,flavor_text,base_power,accuracy,pp
263,Flying Press,7,1,The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.,100,95,10
264,Focus Blast,7,2,The user heightens its mental focus and unleashes its power. This may also lower the target’s Sp. Def stat.,120,70,5
265,Focus Energy,1,3,The user takes a deep breath and focuses so that its future attacks have a heightened chance of landing critical hits.,,,30
266,Focus Punch,7,1,The user focuses its mind before launching a punch. This move fails if the user is hit before using the move.,150,100,20
267,Follow Me,1,3,"The user draws attention to itself, making all opposing Pokémon take aim only at the user.",,,20
268,Force Palm,7,1,The target is attacked with a shock wave. This may also leave the target with paralysis.,60,100,10
269,Foresight,1,3,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.,,,40
270,Forest's Curse,5,3,The user puts a forest curse on the target. This adds Grass type to the target’s type.,,100,20
271,Foul Play,16,1,"The user turns the target’s strength against it. The higher the target’s Attack stat, the greater the damage this move inflicts.",95,100,15
272,Freeze Shock,6,1,"The turn after using this move, the user hits the target with electrically charged ice to inflict damage. This may also leave the target with paralysis.",140,90,5
273,Freeze-Dry,6,2,The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.,70,100,20
274,Freezing Glare,11,2,The user shoots its psychic power from its eyes to attack. This may also leave the target frozen.,90,100,10
275,Freezy Frost,6,2,The user attacks with a crystal made of cold frozen haze. It eliminates every stat change among all the Pokémon engaged in battle.,90,100,15
276,Frenzy Plant,5,2,The user slams the target with the roots of an enormous tree. The user can’t move on the next turn.,150,90,5
277,Frost Breath,6,2,The user attacks by blowing its cold breath on the target. This move always lands a critical hit.,60,90,10
278,Frustration,1,1,This full-power attack grows more powerful the less the user likes its Trainer.,,100,20
279,Fury Attack,1,1,"The user attacks by jabbing the target with a horn, a beak, or the like. This move hits two to five times in a row.",15,85,20
280,Fury Cutter,12,1,"The user attacks by slashing the target with scythes, claws, or the like. This attack becomes more powerful if it hits in succession.",40,95,20
281,Fury Swipes,1,1,"The user attacks by raking the target with claws, scythes, or the like. This move hits two to five times in a row.",18,80,15
282,Fusion Bolt,4,1,The user throws down a giant lightning bolt. This move’s power is boosted when influenced by an enormous flame.,100,100,5
283,Fusion Flare,2,2,The user brings down a giant flame. This move’s power is boosted when influenced by an enormous lightning bolt.,100,100,5
284,Future Sight,11,2,"Two turns after this move is used, a hunk of psychic energy attacks the target.",120,100,10
285,Gastro Acid,8,3,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target’s Ability.,,100,10
286,Gear Grind,17,1,The user attacks by throwing steel gears at the target twice in a row.,50,85,15
287,Gear Up,17,3,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,,,20
288,Genesis Supernova,11,2,"After obtaining Z-Power, the user, Mew, attacks the target with full force. The terrain will be charged with psychic energy.",185,,1
289,Geomancy,18,3,"The user absorbs energy on the first turn, then sharply boosts its Sp. Atk, Sp. Def, and Speed stats on the next turn.",,,10
290,Giga Drain,5,2,A nutrient-draining attack. The user’s HP is restored by up to half the damage taken by the target.,75,100,10
291,Giga Impact,1,1,The user charges at the target using every bit of its power. The user can’t move on the next turn.,150,90,5
292,Gigaton Hammer,17,1,The user swings its whole body around to attack with its huge hammer. This move can’t be used twice in a row.,160,100,5
293,Glacial Lance,6,1,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,120,100,5
294,Glaciate,6,2,The user attacks by blowing freezing cold air at opposing Pokémon. This also lowers their Speed stats.,65,95,10
295,Glaive Rush,15,1,The user throws its entire body into a reckless charge. Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.,120,100,5
296,Glare,1,3,The user intimidates the target with the pattern on its belly to cause paralysis.,,100,30
297,Glitzy Glow,11,2,The user bombards the target with telekinetic force. A wondrous wall of light is put up to weaken the power of the opposing Pokémon’s special moves.,90,100,15
298,Grass Knot,5,2,"The user snares the target with grass and trips it. The heavier the target, the greater the move’s power.",,100,20
299,Grass Pledge,5,2,"A column of grass hits the target. When used with its water counterpart, this move’s power is boosted and a vast swamp appears.",80,100,10
300,Grass Whistle,5,3,The user plays a pleasant melody that lulls the target into a deep sleep.,,55,15
301,Grassy Glide,5,1,"Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain.",55,100,20
302,Grassy Terrain,5,3,The user turns the ground into Grassy Terrain for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass-type moves.,,,10
303,Grav Apple,5,1,The user inflicts damage by dropping an apple from high above. This also lowers the target’s Defense stat.,80,100,10
304,Gravity,11,3,Enables Flying types or Pokémon with the Levitate Ability to be hit by Ground-type moves for five turns. Moves that involve flying can’t be used.,,,5
305,Growl,1,3,"The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats.",,100,40
306,Growth,1,3,"The user’s body grows all at once, boosting the Attack and Sp. Atk stats.",,,20
307,Grudge,14,3,"If the user faints, the user’s grudge fully depletes the PP of the opponent’s move that knocked it out.",,,5
308,Guard Split,11,3,The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.,,,10
309,Guard Swap,11,3,The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.,,,10
310,Guardian of Alola,18,2,"The user, the Land Spirit Pokémon, obtains Alola’s energy using its Z-Power and attacks the target with full force. This reduces the target’s HP greatly.",,,1
311,Guillotine,1,1,A vicious tearing attack with big pincers. The target faints instantly if this attack hits.,,30,5
312,Gunk Shot,8,1,The user shoots filthy garbage at the target to attack. This may also poison the target.,120,80,5
313,Gust,10,2,A gust of wind is whipped up by wings and launched at the target to inflict damage.,40,100,35
314,Gyro Ball,17,1,"The user tackles the target with a high-speed spin. The slower the user is than the target, the greater the move’s power.",,100,5
315,Hail,6,3,The user summons a hailstorm lasting five turns. It damages all Pokémon except Ice types.,,,10
316,Hammer Arm,7,1,"The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user’s Speed stat.",100,90,10
317,Happy Hour,1,3,Using Happy Hour doubles the amount of prize money received after battle.,,,30
318,Harden,1,3,The user stiffens all the muscles in its body to boost its Defense stat.,,,30
319,Haze,6,3,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.,,,30
320,Head Charge,1,1,"The user charges its head into the target, using its powerful guard hair. This also damages the user a little.",120,100,15
321,Head Smash,13,1,The user attacks the target with a hazardous full-power headbutt. This also damages the user terribly.,150,80,5
322,Headbutt,1,1,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.,70,100,15
323,Headlong Rush,9,1,The user smashes into the target in a full-body tackle. This also lowers the user’s Defense and Sp. Def stats.,120,100,5
324,Heal Bell,1,3,The user makes a soothing bell chime to cure the status conditions of all its fellow party Pokémon and allies.,,,5
325,Heal Block,11,3,"For five turns, the user prevents the opposing team from using any moves, Abilities, or held items that recover HP.",,100,15
326,Heal Order,12,3,The user calls out its underlings to heal it. The user regains up to half of its max HP.,,,10
327,Heal Pulse,11,3,The user emits a healing pulse that restores the target’s HP by up to half its max HP.,,,10
328,Healing Wish,11,3,"The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured.",,,10
329,Heart Stamp,11,1,The user unleashes a vicious blow after its cute act makes the target less wary. This may also make the target flinch.,60,100,25
330,Heart Swap,11,3,The user employs its psychic power to switch stat changes with the target.,,,10
331,Heat Crash,2,1,"The user slams into the target with its flame-covered body. The more the user outweighs the target, the greater the move’s power.",,100,10
332,Heat Wave,2,2,The user attacks by exhaling hot breath on opposing Pokémon. This may also leave them with a burn.,95,90,10
333,Heavy Slam,17,1,"The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move’s power.",,100,10
334,Helping Hand,1,3,The user assists an ally by boosting the power of that ally’s attack.,,,20
335,Hex,14,2,This relentless attack does massive damage to a target affected by status conditions.,65,100,10
336,Hidden Power,1,2,A unique attack that varies in type depending on the Pokémon using it.,60,100,15
337,High Horsepower,9,1,The user fiercely attacks the target using its entire body.,95,95,10
338,High Jump Kick,7,1,"The target is attacked with a knee kick from a jump. If this move misses, the user takes damage instead.",130,90,10
339,Hold Back,1,1,"The user holds back when it attacks, and the target is left with at least 1 HP.",40,100,40
340,Hold Hands,1,3,The user and an ally hold hands. This makes them very happy.,,,40
341,Hone Claws,16,3,The user sharpens its claws to boost its Attack stat and accuracy.,,,15
342,Horn Attack,1,1,The target is jabbed with a sharply pointed horn to inflict damage.,65,100,25
343,Horn Drill,1,1,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.,,30,5
344,Horn Leech,5,1,The user drains the target’s energy with its horns. The user’s HP is restored by up to half the damage taken by the target.,75,100,10
345,Howl,1,3,The user howls loudly to rouse itself and its allies. This boosts their Attack stats.,,,40
346,Hurricane,10,2,The user attacks by wrapping the target in a fierce wind. This may also confuse the target.,110,70,10
347,Hydro Cannon,3,2,The target is hit with a watery blast. The user can’t move on the next turn.,150,90,5
348,Hydro Pump,3,2,The target is blasted by a huge volume of water launched under great pressure.,110,80,5
349,Hydro Steam,3,2,Power increases in harsh sunlight.,80,100,15
350,Hyper Beam,1,2,The target is attacked with a powerful beam. The user can’t move on the next turn.,150,90,5
351,Hyper Drill,1,1,The user spins the pointed part of its body at high speed to pierce the target. This attack can hit a target using a move such as Protect or Detect.,100,100,5
352,Hyper Fang,1,1,The user bites hard on the target with its sharp front fangs. This may also make the target flinch.,80,90,15
353,Hyper Voice,1,2,"The user attacks by letting loose a horribly loud, resounding cry.",90,100,10
354,Hyperspace Fury,16,1,"Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like Protect and Detect. This also lowers the user’s Defense stat.",100,,5
355,Hyperspace Hole,11,2,"Using a hyperspace hole, the user appears right next to the target and strikes. This attack can hit a target using a move such as Protect or Detect.",80,,5
356,Hypnosis,11,3,The user employs hypnotic suggestion to make the target fall asleep.,,60,20
357,Ice Ball,6,1,The user attacks the target for five turns. The move’s power increases each time it hits.,30,90,20
358,Ice Beam,6,2,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.,90,100,10
359,Ice Burn,6,2,"The turn after using this move, the user surrounds the target with an ultracold, freezing wind to inflict damage. This may also leave the target with a burn.",140,90,5
360,Ice Fang,6,1,The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.,65,95,15
361,Ice Hammer,6,1,"The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user’s Speed stat.",100,90,10
362,Ice Punch,6,1,The target is attacked with an icy punch. This may also leave the target frozen.,75,100,15
363,Ice Shard,6,1,The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.,40,100,30
364,Ice Spinner,6,1,"The user covers its feet in thin ice and twirls around, slamming into the target. This move’s spinning motion also destroys the terrain.",80,100,15
365,Icicle Crash,6,1,The user attacks by crashing large icicles onto the target. This may also make the target flinch.,85,90,10
366,Icicle Spear,6,1,The user attacks by launching sharp icicles at the target. This move hits two to five times in a row.,25,100,30
367,Icy Wind,6,2,The user attacks with a gust of chilled air. This also lowers opposing Pokémon’s Speed stats.,55,95,15
368,Imprison,11,3,"If opposing Pokémon know any move also known by the user, they are prevented from using it.",,,10
369,Incinerate,2,2,"The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable.",60,100,15
370,Infernal Parade,14,2,The user attacks with myriad fireballs. This may also leave the target with a burn. This move’s power is doubled if the target has a status condition.,60,100,15
371,Inferno,2,2,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.,100,50,5
372,Infestation,12,2,The target is infested and attacked for four to five turns. The target can’t flee during this time.,20,100,20
373,Ingrain,5,3,"The user lays roots that restore its own HP every turn. Because the user is now rooted, it can’t switch out.",,,20
374,Instruct,11,3,The user instructs the target to reuse the move last used by the target.,,,15
375,Ion Deluge,4,3,"The user disperses electrically charged particles, which changes Normal-type moves to Electric-type moves.",,,25
376,Iron Defense,17,3,"The user hardens its body’s surface like iron, sharply boosting its Defense stat.",,,15
377,Iron Head,17,1,The user slams the target with its steel-hard head. This may also make the target flinch.,80,100,15
378,Iron Tail,17,1,The target is slammed with a steel-hard tail. This may also lower the target’s Defense stat.,100,75,15
379,Ivy Cudgel,5,1,"The user strikes with an ivy-wrapped cudgel. This move's type changes depending on the mask worn by the user, and it has a heightened chance of landing a critical hit.",100,100,10
380,Jaw Lock,16,1,This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.,80,100,10
381,Jet Punch,3,1,The user summons a torrent around its fist and punches at blinding speed. This move always goes first.,60,100,15
382,Judgment,1,2,The user releases countless shots of light at the target. This move’s type changes depending on the kind of plate held by the user.,100,100,10
383,Jump Kick,7,1,"The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.",100,95,10
384,Jungle Healing,5,3,"The user becomes one with the jungle, restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle.",,,10
385,Karate Chop,7,1,The target is attacked with a sharp chop. Critical hits land more easily.,50,100,25
386,Kinesis,11,3,The user distracts the target by bending a spoon. This lowers the target’s accuracy.,,80,15
387,King's Shield,17,3,The user takes a defensive stance while it protects itself from damage. This also lowers the Attack stat of any attacker that makes direct contact.,,,10
388,Knock Off,16,1,"The user slaps down the target’s held item, making it unusable for that battle. This move does more damage if the target has a held item.",65,100,20
389,Kowtow Cleave,16,1,The user slashes at the target after kowtowing to make the target let down its guard. This attack never misses.,85,,10
390,Land's Wrath,9,1,The user gathers the energy of the land and focuses that power on opposing Pokémon to inflict damage.,90,100,10
391,Laser Focus,1,3,The user concentrates intensely. The attack on the next turn always results in a critical hit.,,,30
392,Lash Out,16,1,The user lashes out to vent its frustration toward the target. This move’s power is doubled if the user’s stats were lowered during this turn.,75,100,5
393,Last Resort,1,1,This move can be used only after the user has used all the other moves it knows in the battle.,140,100,5
394,Last Respects,14,1,"The user attacks to avenge its allies. The more defeated allies there are in the user’s party, the greater the move’s power.",50,100,10
395,Lava Plume,2,2,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.,80,100,15
396,Leaf Blade,5,1,The user handles a sharp leaf like a sword and cuts the target to inflict damage. This move has a heightened chance of landing a critical hit.,90,100,15
397,Leaf Storm,5,2,The user whips up a storm of leaves around the target. The recoil from this move harshly lowers the user’s Sp. Atk stat.,130,90,5
398,Leaf Tornado,5,2,The user attacks its target by encircling it in sharp leaves. This attack may also lower the target’s accuracy.,65,90,10
399,Leafage,5,1,The user attacks by pelting the target with leaves.,40,100,40
400,Leech Life,12,1,The user drains the target’s blood. The user’s HP is restored by up to half the damage taken by the target.,80,100,10
401,Leech Seed,5,3,A seed is planted on the target. It steals some HP from the target every turn.,,90,10
402,Leer,1,3,The user gives opposing Pokémon an intimidating leer that lowers their Defense stats.,,100,30
403,Let's Snuggle Forever,18,1,"After obtaining Z-Power, the user, Mimikyu, punches the target with full force.",190,,1
404,Lick,14,1,The user licks the target with a long tongue to inflict damage. This may also leave the target with paralysis.,30,100,30
405,Life Dew,3,3,The user scatters mysterious water around and restores the HP of itself and its ally Pokémon currently in the battle.,,,10
406,Light Screen,11,3,A wondrous wall of light is put up to reduce damage from special moves for five turns.,,,30
407,Light That Burns the Sky,11,2,"This attack inflicts Attack or Sp. Atk damage— whichever stat is higher for the user, Necrozma. This move ignores the target’s Ability.",200,,1
408,Light of Ruin,18,2,"Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user terribly.",140,90,5
409,Liquidation,3,1,The user slams into the target using a full-force blast of water. This may also lower the target’s Defense stat.,85,100,10
410,Lock-On,1,3,The user takes sure aim at the target. This ensures the user’s next move does not miss that target.,,,5
411,Lovely Kiss,1,3,"With a scary face, the user tries to kiss the target. If it succeeds, the target falls asleep.",,75,10
412,Low Kick,7,1,"A powerful low kick that makes the target fall over. The heavier the target, the greater the move’s power.",,100,20
413,Low Sweep,7,1,"The user makes a swift attack on the target’s legs, which lowers the target’s Speed stat.",65,100,20
414,Lucky Chant,1,3,"The user chants an incantation toward the sky, preventing opposing Pokémon from landing critical hits for five turns.",,,30
415,Lumina Crash,11,2,The user attacks by unleashing a peculiar light that even affects the mind. This also harshly lowers the target’s Sp. Def stat.,80,100,10
416,Lunar Blessing,11,3,"The user receives a blessing from the crescent moon, restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle.",,,5
417,Lunar Dance,11,3,"The user faints. In return, the Pokémon taking its place will have its HP and PP restored and its status conditions cured.",,,10
418,Lunge,12,1,"The user makes a lunge at the target, attacking with full force. This also lowers the target’s Attack stat.",80,100,15
419,Luster Purge,11,2,The user lets loose a damaging burst of light. This may also lower the target’s Sp. Def stat.,70,100,5
420,Mach Punch,7,1,The user throws a punch at blinding speed. This move always goes first.,40,100,30
421,Magic Coat,11,3,Moves like Leech Seed and moves that inflict status conditions are blocked by a barrier and reflected back to the user of those moves.,,,15
422,Magic Powder,11,3,The user scatters a cloud of magic powder that changes the target’s type to Psychic.,,100,20
423,Magic Room,11,3,The user creates a bizarre area in which Pokémon’s held items lose their effects for five turns.,,,10
424,Magical Leaf,5,2,The user scatters curious leaves that chase the target. This attack never misses.,60,,20
425,Magical Torque,18,1,Signature move of the Ruchbah Starmobile.,100,100,10
426,Magma Storm,2,2,The user traps the target inside a maelstrom of fire that inflicts damage for four to five turns.,100,75,5
427,Magnet Bomb,17,1,The user launches steel bombs that stick to the target. This attack never misses.,60,,20
428,Magnet Rise,4,3,The user levitates using electrically generated magnetism for five turns.,,,10
429,Magnetic Flux,4,3,"The user manipulates magnetic fields, which boosts the Defense and Sp. Def stats of ally Pokémon with the Plus Ability or the Minus Ability.",,,20
430,Magnitude,9,1,The user attacks everything around it with a ground-shaking quake. Its power varies.,,100,30
431,Make It Rain,17,2,The user attacks by throwing out a mass of coins. This also lowers the user’s Sp. Atk stat. Money is earned after the battle.,120,100,5
432,Malicious Moonsault,16,1,"The user, Incineroar, strengthens its body using its Z-Power and crashes into the target with full force.",180,,1
433,Mat Block,7,3,"Using a pulled-up mat as a shield, the user protects itself and its allies from damaging moves. This does not stop status moves.",,,10
434,Matcha Gotcha,5,2,The user fires a blast of tea that it mixed. The user's HP is restored by up to half the damage taken by the target. This may also leave the target with a burn.,80,90,15
435,Me First,1,3,The user cuts ahead of the target to copy and use the target’s intended move with greater power. This move fails if it isn’t used first.,,,20
436,Mean Look,1,3,"The user pins the target with a dark, arresting look. The target becomes unable to flee.",,,5
437,Meditate,11,3,The user meditates to awaken the power deep within its body and raise its Attack stat.,,,40
438,Mega Drain,5,2,A nutrient-draining attack. The user’s HP is restored by up to half the damage taken by the target.,40,100,15
439,Mega Kick,1,1,The target is attacked by a kick launched with muscle-packed power.,120,75,5
440,Mega Punch,1,1,The target is slugged by a punch thrown with muscle-packed power.,80,85,20
441,Megahorn,12,1,"Using its tough and impressive horn, the user rams into the target with no letup.",120,85,10
442,Memento,16,3,"The user faints. In return, the target’s Attack and Sp. Atk stats are harshly lowered.",,100,10
443,Menacing Moonraze Maelstrom,14,2,"After obtaining Z-Power, the user, Lunala, attacks the target with full force. This move can ignore the effect of the target’s Ability.",200,,1
444,Metal Burst,17,1,The user retaliates with much greater force against the opponent that last inflicted damage on it.,,100,10
445,Metal Claw,17,1,The target is raked with steel claws. This may also boost the user’s Attack stat.,50,95,35
446,Metal Sound,17,3,A horrible sound like scraping metal harshly lowers the target’s Sp. Def stat.,,85,40
447,Meteor Assault,7,1,"The user attacks wildly with its thick leek. The user can’t move on the next turn, because the force of this move makes it stagger.",150,100,5
448,Meteor Beam,13,2,"The user gathers energy from space and boosts its Sp. Atk stat on the first turn, then attacks on the next turn.",120,90,10
449,Meteor Mash,17,1,The target is hit with a hard punch fired like a meteor. This may also boost the user’s Attack stat.,90,90,10
450,Metronome,1,3,The user waggles a finger and stimulates its brain into randomly using nearly any move.,,,10
451,Milk Drink,1,3,The user restores its own HP by up to half its max HP.,,,5
452,Mimic,1,3,The user copies the move last used by the target. The copied move can be used until the user of Mimic leaves the battle.,,,10
453,Mind Blown,2,2,The user attacks everything around it by causing its own head to explode. This also damages the user.,150,100,5
454,Mind Reader,1,3,The user senses the target’s movements with its mind to ensure its next attack does not miss the target.,,,5
455,Minimize,1,3,"The user compresses its body to make itself look smaller, which sharply boosts its evasiveness.",,,10
456,Miracle Eye,11,3,Enables a Dark-type target to be hit by Psychic-type attacks. This also enables an evasive target to be hit.,,,40
457,Mirror Coat,11,2,"A retaliatory attack that counters any special move, inflicting double the damage taken.",,100,20
458,Mirror Move,10,3,The user counters the target by mimicking the target’s last move.,,,20
459,Mirror Shot,17,2,The user lets loose a flash of energy at the target from its polished body. This may also lower the target’s accuracy.,65,85,10
460,Mist,6,3,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.,,,30
461,Mist Ball,11,2,A mist-like flurry of down envelops and damages the target. This may also lower the target’s Sp. Atk stat.,70,100,5
462,Misty Explosion,18,2,The user attacks everything around it and faints upon using this move. This move’s power is boosted on Misty Terrain.,100,100,5
463,Misty Terrain,18,3,This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.,,,10
464,Moonblast,18,2,"Borrowing the power of the moon, the user attacks the target. This may also lower the target’s Sp. Atk stat.",95,100,15
465,Moongeist Beam,14,2,The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Ability.,100,100,5
466,Moonlight,18,3,The user restores its own HP. The amount of HP regained varies with the weather.,,,5
467,Morning Sun,1,3,The user restores its own HP. The amount of HP regained varies with the weather.,,,5
468,Mortal Spin,8,1,"The user performs a spin attack that can also eliminate the effects of such moves as Bind, Wrap, and Leech Seed. This also poisons opposing Pokémon.",30,100,15
469,Mountain Gale,6,1,The user hurls giant chunks of ice at the target to inflict damage. This may also make the target flinch.,100,85,10
470,Mud Bomb,9,2,The user launches a hard-packed mud ball to attack. This may also lower the target’s accuracy.,65,85,10
471,Mud Shot,9,2,The user attacks by hurling a blob of mud at the target. This also lowers the target’s Speed stat.,55,95,15
472,Mud Sport,9,3,The user kicks up mud on the battlefield. This weakens Electric-type moves for five turns.,,,15
473,Mud-Slap,9,2,The user hurls mud in the target’s face to inflict damage and lower its accuracy.,20,100,10
474,Muddy Water,3,2,The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.,90,85,10
475,Multi-Attack,1,1,"Cloaking itself in powerful energy, the user slams into the target to inflict damage. This move’s type changes depending on the kind of memory disc held by the user.",120,100,10
476,Mystical Fire,2,2,"The user attacks by breathing a special, hot fire. This also lowers the target’s Sp. Atk stat.",75,100,10
477,Mystical Power,11,2,The user attacks by emitting a mysterious power. This also boosts the user’s Sp. Atk stat.,70,90,10
478,Nasty Plot,16,3,The user stimulates its brain by thinking bad thoughts. This sharply boosts the user’s Sp. Atk stat.,,,20
479,Natural Gift,1,1,The user draws power to attack by using its held Berry. The Berry determines the move’s type and power.,,100,15
480,Nature Power,1,3,This attack makes use of nature’s power. Its effects vary depending on the user’s environment.,,,20
481,Nature's Madness,18,2,The user hits the target with the full wrath of nature. This cuts the target’s HP in half.,,90,10
482,Needle Arm,5,1,The user attacks by wildly swinging its thorny arms. This may also make the target flinch.,60,100,15
483,Night Daze,16,2,The user looses a pitch-black shock wave at the target to inflict damage. This may also lower the target’s accuracy.,85,95,10
484,Night Shade,14,2,The user makes the target see a frightening mirage. It inflicts damage equal to the user’s level.,,100,15
485,Night Slash,16,1,The user slashes the target the instant an opportunity arises. This move has a heightened chance of landing a critical hit.,70,100,15
486,Nightmare,14,3,A sleeping target sees a nightmare that inflicts some damage every turn.,,100,15
487,No Retreat,7,3,This move boosts all the user’s stats but prevents the user from switching out or fleeing.,,,5
488,Noble Roar,1,3,"Letting out a noble roar, the user intimidates the target and lowers the target’s Attack and Sp. Atk stats.",,100,30
489,Noxious Torque,8,1,Signature move of the Navi Starmobile.,100,100,10
490,Nuzzle,4,1,The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.,20,100,20
491,Oblivion Wing,10,2,The user absorbs the target’s HP. The user’s HP is restored by over half the damage taken by the target.,80,100,10
492,Obstruct,16,3,This move enables the user to protect itself from all attacks. Its chance of failing rises if used in succession. Direct contact harshly lowers the attacker’s Defense stat.,,100,10
493,Oceanic Operetta,3,2,"The user, Primarina, summons a massive amount of water using its Z-Power and attacks the target with full force.",195,,1
494,Octazooka,3,2,The user attacks by spraying ink in the target’s face. This may also lower the target’s accuracy.,65,85,10
495,Octolock,7,3,The user locks the target in and prevents it from fleeing. This move also lowers the target’s Defense and Sp. Def every turn.,,100,15
496,Odor Sleuth,1,3,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.,,,40
497,Ominous Wind,14,2,The user blasts the target with a gust of repulsive wind. This may also raise all the user’s stats at once.,60,100,5
498,Order Up,15,1,"The user attacks with elegant poise. If the user has a Tatsugiri in its mouth, this move boosts one of the user’s stats based on the Tatsugiri’s form.",80,100,10
499,Origin Pulse,3,2,The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.,110,85,10
500,Outrage,15,1,The user rampages and attacks for two to three turns. The user then becomes confused.,120,100,10
501,Overdrive,4,2,"The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration.",80,100,10
502,Overheat,2,2,The user attacks the target with all its might. The recoil from this move harshly lowers the user’s Sp. Atk stat.,130,90,5
503,Pain Split,1,3,"The user adds its HP to the target’s HP, then equally splits the combined HP between the target and itself.",,,20
504,Parabolic Charge,4,2,The user attacks everything around it. The user’s HP is restored by half the damage taken by those hit.,65,100,20
505,Parting Shot,16,3,"With a parting threat, the user lowers the target’s Attack and Sp. Atk stats. Then it switches places with a party Pokémon in waiting.",,100,20
506,Pay Day,1,1,Coins are hurled at the target to inflict damage. Money is earned after the battle.,40,100,20
507,Payback,16,1,"The user stores power, then attacks. This move’s power is doubled if the user moves after the target.",50,100,10
508,Peck,10,1,The target is jabbed with a sharply pointed beak or horn to inflict damage.,35,100,35
509,Perish Song,1,3,"Any Pokémon that hears this song faints in three turns, unless it switches out of battle.",,,5
510,Petal Blizzard,5,1,The user stirs up a violent petal blizzard and damages everything around it.,90,100,15
511,Petal Dance,5,2,The user attacks the target by scattering petals for two to three turns. The user then becomes confused.,120,100,10
512,Phantom Force,14,1,"The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself.",90,100,10
513,Photon Geyser,11,2,The user attacks the target with a pillar of light. This move inflicts damage using the Attack or Sp. Atk stat— whichever is higher for the user.,100,100,5
514,Pika Papow,4,2,"The more Pikachu loves its Trainer, the greater the move’s power. It never misses.",,,20
515,Pin Missile,12,1,The user attacks by shooting sharp spikes at the target. This move hits two to five times in a row.,25,95,20
516,Plasma Fists,4,1,The user attacks with electrically charged fists. This move changes Normal-type moves to Electric-type moves.,100,100,15
517,Play Nice,1,3,"The user and the target become friends, and the target loses its will to fight. This lowers the target’s Attack stat.",,,20
518,Play Rough,18,1,The user attacks by playing rough with the target. This may also lower the target’s Attack stat.,90,90,10
519,Pluck,10,1,"The user attacks by pecking the target. If the target is holding a Berry, the user eats it and gains its effect.",60,100,20
520,Poison Fang,8,1,The user bites the target with toxic fangs. This may also leave the target badly poisoned.,50,100,15
521,Poison Gas,8,3,"A cloud of poison gas is sprayed in the faces of opposing Pokémon, poisoning those it hits.",,90,40
522,Poison Jab,8,1,"The target is stabbed with a tentacle, an arm, or the like steeped in poison. This may also poison the target.",80,100,20
523,Poison Powder,8,3,The user scatters a cloud of poisonous dust that poisons the target.,,75,35
524,Poison Sting,8,1,The user stabs the target with a poisonous stinger to inflict damage. This may also poison the target.,15,100,35
525,Poison Tail,8,1,The user hits the target with its tail. This move has a heightened chance of landing a critical hit and may also poison the target.,50,100,25
526,Pollen Puff,12,2,"The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.",90,100,15
