name,type,category,flavor_text,base_power,accuracy,pp
Fling,Dark,Physical,The user flings its held item at the target to attack. This move’s power and effects depend on the item.,,100,10
Flip Turn,Water,Physical,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",60,100,20
Floaty Fall,Flying,Physical,"The user floats in the air, and then dives at a steep angle to attack the target. This may also make the target flinch.",90,95,15
Floral Healing,Fairy,Status,The user restores the target’s HP by up to half its max HP. More HP is restored when the ground is Grassy Terrain.,,,10
Flower Shield,Fairy,Status,The user raises the Defense stats of all Grass-type Pokémon in battle with a mysterious power.,,,10
Flower Trick,Grass,Physical,The user throws a rigged bouquet of flowers at the target. This attack never misses and always lands a critical hit.,70,,10
Fly,Flying,Physical,"The user flies up into the sky on the first turn, then attacks on the next turn.",90,95,15
Flying Press,Fighting,Physical,The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.,100,95,10
Focus Blast,Fighting,Special,The user heightens its mental focus and unleashes its power. This may also lower the target’s Sp. Def stat.,120,70,5
Focus Energy,Normal,Status,The user takes a deep breath and focuses so that its future attacks have a heightened chance of landing critical hits.,,,30
Focus Punch,Fighting,Physical,The user focuses its mind before launching a punch. This move fails if the user is hit before using the move.,150,100,20
Follow Me,Normal,Status,"The user draws attention to itself, making all opposing Pokémon take aim only at the user.",,,20
Force Palm,Fighting,Physical,The target is attacked with a shock wave. This may also leave the target with paralysis.,60,100,10
Foresight,Normal,Status,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.,,,40
Forest's Curse,Grass,Status,The user puts a forest curse on the target. This adds Grass type to the target’s type.,,100,20
Foul Play,Dark,Physical,"The user turns the target’s strength against it. The higher the target’s Attack stat, the greater the damage this move inflicts.",95,100,15
Freeze Shock,Ice,Physical,"The turn after using this move, the user hits the target with electrically charged ice to inflict damage. This may also leave the target with paralysis.",140,90,5
Freeze-Dry,Ice,Special,The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.,70,100,20
Freezing Glare,Psychic,Special,The user shoots its psychic power from its eyes to attack. This may also leave the target frozen.,90,100,10
Freezy Frost,Ice,Special,The user attacks with a crystal made of cold frozen haze. It eliminates every stat change among all the Pokémon engaged in battle.,90,100,15
Frenzy Plant,Grass,Special,The user slams the target with the roots of an enormous tree. The user can’t move on the next turn.,150,90,5
Frost Breath,Ice,Special,The user attacks by blowing its cold breath on the target. This move always lands a critical hit.,60,90,10
Frustration,Normal,Physical,This full-power attack grows more powerful the less the user likes its Trainer.,,100,20
Fury Attack,Normal,Physical,"The user attacks by jabbing the target with a horn, a beak, or the like. This move hits two to five times in a row.",15,85,20
Fury Cutter,Bug,Physical,"The user attacks by slashing the target with scythes, claws, or the like. This attack becomes more powerful if it hits in succession.",40,95,20
Fury Swipes,Normal,Physical,"The user attacks by raking the target with claws, scythes, or the like. This move hits two to five times in a row.",18,80,15
Fusion Bolt,Electric,Physical,The user throws down a giant lightning bolt. This move’s power is boosted when influenced by an enormous flame.,100,100,5
Fusion Flare,Fire,Special,The user brings down a giant flame. This move’s power is boosted when influenced by an enormous lightning bolt.,100,100,5
Future Sight,Psychic,Special,"Two turns after this move is used, a hunk of psychic energy attacks the target.",120,100,10
Gastro Acid,Poison,Status,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target’s Ability.,,100,10
Gear Grind,Steel,Physical,The user attacks by throwing steel gears at the target twice in a row.,50,85,15
Gear Up,Steel,Status,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,,,20
Genesis Supernova,Psychic,Special,"After obtaining Z-Power, the user, Mew, attacks the target with full force. The terrain will be charged with psychic energy.",185,,1
Geomancy,Fairy,Status,"The user absorbs energy on the first turn, then sharply boosts its Sp. Atk, Sp. Def, and Speed stats on the next turn.",,,10
Giga Drain,Grass,Special,A nutrient-draining attack. The user’s HP is restored by up to half the damage taken by the target.,75,100,10
Giga Impact,Normal,Physical,The user charges at the target using every bit of its power. The user can’t move on the next turn.,150,90,5
Gigaton Hammer,Steel,Physical,The user swings its whole body around to attack with its huge hammer. This move can’t be used twice in a row.,160,100,5
Glacial Lance,Ice,Physical,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,120,100,5
Glaciate,Ice,Special,The user attacks by blowing freezing cold air at opposing Pokémon. This also lowers their Speed stats.,65,95,10
Glaive Rush,Dragon,Physical,The user throws its entire body into a reckless charge. Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.,120,100,5
Glare,Normal,Status,The user intimidates the target with the pattern on its belly to cause paralysis.,,100,30
Glitzy Glow,Psychic,Special,The user bombards the target with telekinetic force. A wondrous wall of light is put up to weaken the power of the opposing Pokémon’s special moves.,90,100,15
Grass Knot,Grass,Special,"The user snares the target with grass and trips it. The heavier the target, the greater the move’s power.",,100,20
Grass Pledge,Grass,Special,"A column of grass hits the target. When used with its water counterpart, this move’s power is boosted and a vast swamp appears.",80,100,10
Grass Whistle,Grass,Status,The user plays a pleasant melody that lulls the target into a deep sleep.,,55,15
Grassy Glide,Grass,Physical,"Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain.",55,100,20
Grassy Terrain,Grass,Status,The user turns the ground into Grassy Terrain for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass-type moves.,,,10
Grav Apple,Grass,Physical,The user inflicts damage by dropping an apple from high above. This also lowers the target’s Defense stat.,80,100,10
Gravity,Psychic,Status,Enables Flying types or Pokémon with the Levitate Ability to be hit by Ground-type moves for five turns. Moves that involve flying can’t be used.,,,5
Growl,Normal,Status,"The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats.",,100,40
Growth,Normal,Status,"The user’s body grows all at once, boosting the Attack and Sp. Atk stats.",,,20
Grudge,Ghost,Status,"If the user faints, the user’s grudge fully depletes the PP of the opponent’s move that knocked it out.",,,5
Guard Split,Psychic,Status,The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.,,,10
Guard Swap,Psychic,Status,The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.,,,10
Guardian of Alola,Fairy,Special,"The user, the Land Spirit Pokémon, obtains Alola’s energy using its Z-Power and attacks the target with full force. This reduces the target’s HP greatly.",,,1
Guillotine,Normal,Physical,A vicious tearing attack with big pincers. The target faints instantly if this attack hits.,,30,5
Gunk Shot,Poison,Physical,The user shoots filthy garbage at the target to attack. This may also poison the target.,120,80,5
Gust,Flying,Special,A gust of wind is whipped up by wings and launched at the target to inflict damage.,40,100,35
Gyro Ball,Steel,Physical,"The user tackles the target with a high-speed spin. The slower the user is than the target, the greater the move’s power.",,100,5
Hail,Ice,Status,The user summons a hailstorm lasting five turns. It damages all Pokémon except Ice types.,,,10
Hammer Arm,Fighting,Physical,"The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user’s Speed stat.",100,90,10
Happy Hour,Normal,Status,Using Happy Hour doubles the amount of prize money received after battle.,,,30
Harden,Normal,Status,The user stiffens all the muscles in its body to boost its Defense stat.,,,30
Haze,Ice,Status,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.,,,30
Head Charge,Normal,Physical,"The user charges its head into the target, using its powerful guard hair. This also damages the user a little.",120,100,15
Head Smash,Rock,Physical,The user attacks the target with a hazardous full-power headbutt. This also damages the user terribly.,150,80,5
Headbutt,Normal,Physical,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.,70,100,15
Headlong Rush,Ground,Physical,The user smashes into the target in a full-body tackle. This also lowers the user’s Defense and Sp. Def stats.,120,100,5
Heal Bell,Normal,Status,The user makes a soothing bell chime to cure the status conditions of all its fellow party Pokémon and allies.,,,5
Heal Block,Psychic,Status,"For five turns, the user prevents the opposing team from using any moves, Abilities, or held items that recover HP.",,100,15
Heal Order,Bug,Status,The user calls out its underlings to heal it. The user regains up to half of its max HP.,,,10
Heal Pulse,Psychic,Status,The user emits a healing pulse that restores the target’s HP by up to half its max HP.,,,10
Healing Wish,Psychic,Status,"The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured.",,,10
Heart Stamp,Psychic,Physical,The user unleashes a vicious blow after its cute act makes the target less wary. This may also make the target flinch.,60,100,25
Heart Swap,Psychic,Status,The user employs its psychic power to switch stat changes with the target.,,,10
Heat Crash,Fire,Physical,"The user slams into the target with its flame-covered body. The more the user outweighs the target, the greater the move’s power.",,100,10
Heat Wave,Fire,Special,The user attacks by exhaling hot breath on opposing Pokémon. This may also leave them with a burn.,95,90,10
Heavy Slam,Steel,Physical,"The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move’s power.",,100,10
Helping Hand,Normal,Status,The user assists an ally by boosting the power of that ally’s attack.,,,20
Hex,Ghost,Special,This relentless attack does massive damage to a target affected by status conditions.,65,100,10
Hidden Power,Normal,Special,A unique attack that varies in type depending on the Pokémon using it.,60,100,15
High Horsepower,Ground,Physical,The user fiercely attacks the target using its entire body.,95,95,10
High Jump Kick,Fighting,Physical,"The target is attacked with a knee kick from a jump. If this move misses, the user takes damage instead.",130,90,10
Hold Back,Normal,Physical,"The user holds back when it attacks, and the target is left with at least 1 HP.",40,100,40
Hold Hands,Normal,Status,The user and an ally hold hands. This makes them very happy.,,,40
Hone Claws,Dark,Status,The user sharpens its claws to boost its Attack stat and accuracy.,,,15
Horn Attack,Normal,Physical,The target is jabbed with a sharply pointed horn to inflict damage.,65,100,25
Horn Drill,Normal,Physical,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.,,30,5
Horn Leech,Grass,Physical,The user drains the target’s energy with its horns. The user’s HP is restored by up to half the damage taken by the target.,75,100,10
Howl,Normal,Status,The user howls loudly to rouse itself and its allies. This boosts their Attack stats.,,,40
Hurricane,Flying,Special,The user attacks by wrapping the target in a fierce wind. This may also confuse the target.,110,70,10
Hydro Cannon,Water,Special,The target is hit with a watery blast. The user can’t move on the next turn.,150,90,5
Hydro Pump,Water,Special,The target is blasted by a huge volume of water launched under great pressure.,110,80,5
Hydro Steam,Water,Special,Power increases in harsh sunlight.,80,100,15
Hyper Beam,Normal,Special,The target is attacked with a powerful beam. The user can’t move on the next turn.,150,90,5
Hyper Drill,Normal,Physical,The user spins the pointed part of its body at high speed to pierce the target. This attack can hit a target using a move such as Protect or Detect.,100,100,5
Hyper Fang,Normal,Physical,The user bites hard on the target with its sharp front fangs. This may also make the target flinch.,80,90,15
Hyper Voice,Normal,Special,"The user attacks by letting loose a horribly loud, resounding cry.",90,100,10
Hyperspace Fury,Dark,Physical,"Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like Protect and Detect. This also lowers the user’s Defense stat.",100,,5
Hyperspace Hole,Psychic,Special,"Using a hyperspace hole, the user appears right next to the target and strikes. This attack can hit a target using a move such as Protect or Detect.",80,,5
Hypnosis,Psychic,Status,The user employs hypnotic suggestion to make the target fall asleep.,,60,20
Ice Ball,Ice,Physical,The user attacks the target for five turns. The move’s power increases each time it hits.,30,90,20
Ice Beam,Ice,Special,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.,90,100,10
Ice Burn,Ice,Special,"The turn after using this move, the user surrounds the target with an ultracold, freezing wind to inflict damage. This may also leave the target with a burn.",140,90,5
Ice Fang,Ice,Physical,The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.,65,95,15
Ice Hammer,Ice,Physical,"The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user’s Speed stat.",100,90,10
Ice Punch,Ice,Physical,The target is attacked with an icy punch. This may also leave the target frozen.,75,100,15
Ice Shard,Ice,Physical,The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.,40,100,30
Ice Spinner,Ice,Physical,"The user covers its feet in thin ice and twirls around, slamming into the target. This move’s spinning motion also destroys the terrain.",80,100,15
Icicle Crash,Ice,Physical,The user attacks by crashing large icicles onto the target. This may also make the target flinch.,85,90,10
Icicle Spear,Ice,Physical,The user attacks by launching sharp icicles at the target. This move hits two to five times in a row.,25,100,30
Icy Wind,Ice,Special,The user attacks with a gust of chilled air. This also lowers opposing Pokémon’s Speed stats.,55,95,15
Imprison,Psychic,Status,"If opposing Pokémon know any move also known by the user, they are prevented from using it.",,,10
Incinerate,Fire,Special,"The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable.",60,100,15
Infernal Parade,Ghost,Special,The user attacks with myriad fireballs. This may also leave the target with a burn. This move’s power is doubled if the target has a status condition.,60,100,15
Inferno,Fire,Special,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.,100,50,5
Infestation,Bug,Special,The target is infested and attacked for four to five turns. The target can’t flee during this time.,20,100,20
Ingrain,Grass,Status,"The user lays roots that restore its own HP every turn. Because the user is now rooted, it can’t switch out.",,,20
Instruct,Psychic,Status,The user instructs the target to reuse the move last used by the target.,,,15
Ion Deluge,Electric,Status,"The user disperses electrically charged particles, which changes Normal-type moves to Electric-type moves.",,,25
Iron Defense,Steel,Status,"The user hardens its body’s surface like iron, sharply boosting its Defense stat.",,,15
Iron Head,Steel,Physical,The user slams the target with its steel-hard head. This may also make the target flinch.,80,100,15
Iron Tail,Steel,Physical,The target is slammed with a steel-hard tail. This may also lower the target’s Defense stat.,100,75,15
Ivy Cudgel,Grass,Physical,"The user strikes with an ivy-wrapped cudgel. This move's type changes depending on the mask worn by the user, and it has a heightened chance of landing a critical hit.",100,100,10
Jaw Lock,Dark,Physical,This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.,80,100,10
Jet Punch,Water,Physical,The user summons a torrent around its fist and punches at blinding speed. This move always goes first.,60,100,15
Judgment,Normal,Special,The user releases countless shots of light at the target. This move’s type changes depending on the kind of plate held by the user.,100,100,10
Jump Kick,Fighting,Physical,"The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.",100,95,10
Jungle Healing,Grass,Status,"The user becomes one with the jungle, restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle.",,,10
Karate Chop,Fighting,Physical,The target is attacked with a sharp chop. Critical hits land more easily.,50,100,25
Kinesis,Psychic,Status,The user distracts the target by bending a spoon. This lowers the target’s accuracy.,,80,15
King's Shield,Steel,Status,The user takes a defensive stance while it protects itself from damage. This also lowers the Attack stat of any attacker that makes direct contact.,,,10
Knock Off,Dark,Physical,"The user slaps down the target’s held item, making it unusable for that battle. This move does more damage if the target has a held item.",65,100,20
Kowtow Cleave,Dark,Physical,The user slashes at the target after kowtowing to make the target let down its guard. This attack never misses.,85,,10
Land's Wrath,Ground,Physical,The user gathers the energy of the land and focuses that power on opposing Pokémon to inflict damage.,90,100,10
Laser Focus,Normal,Status,The user concentrates intensely. The attack on the next turn always results in a critical hit.,,,30
Lash Out,Dark,Physical,The user lashes out to vent its frustration toward the target. This move’s power is doubled if the user’s stats were lowered during this turn.,75,100,5
Last Resort,Normal,Physical,This move can be used only after the user has used all the other moves it knows in the battle.,140,100,5
Last Respects,Ghost,Physical,"The user attacks to avenge its allies. The more defeated allies there are in the user’s party, the greater the move’s power.",50,100,10
Lava Plume,Fire,Special,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.,80,100,15
Leaf Blade,Grass,Physical,The user handles a sharp leaf like a sword and cuts the target to inflict damage. This move has a heightened chance of landing a critical hit.,90,100,15
Leaf Storm,Grass,Special,The user whips up a storm of leaves around the target. The recoil from this move harshly lowers the user’s Sp. Atk stat.,130,90,5
Leaf Tornado,Grass,Special,The user attacks its target by encircling it in sharp leaves. This attack may also lower the target’s accuracy.,65,90,10
Leafage,Grass,Physical,The user attacks by pelting the target with leaves.,40,100,40
Leech Life,Bug,Physical,The user drains the target’s blood. The user’s HP is restored by up to half the damage taken by the target.,80,100,10
Leech Seed,Grass,Status,A seed is planted on the target. It steals some HP from the target every turn.,,90,10
Leer,Normal,Status,The user gives opposing Pokémon an intimidating leer that lowers their Defense stats.,,100,30
Let's Snuggle Forever,Fairy,Physical,"After obtaining Z-Power, the user, Mimikyu, punches the target with full force.",190,,1
Lick,Ghost,Physical,The user licks the target with a long tongue to inflict damage. This may also leave the target with paralysis.,30,100,30
Life Dew,Water,Status,The user scatters mysterious water around and restores the HP of itself and its ally Pokémon currently in the battle.,,,10
Light Screen,Psychic,Status,A wondrous wall of light is put up to reduce damage from special moves for five turns.,,,30
Light That Burns the Sky,Psychic,Special,"This attack inflicts Attack or Sp. Atk damage— whichever stat is higher for the user, Necrozma. This move ignores the target’s Ability.",200,,1
Light of Ruin,Fairy,Special,"Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user terribly.",140,90,5
Liquidation,Water,Physical,The user slams into the target using a full-force blast of water. This may also lower the target’s Defense stat.,85,100,10
Lock-On,Normal,Status,The user takes sure aim at the target. This ensures the user’s next move does not miss that target.,,,5
Lovely Kiss,Normal,Status,"With a scary face, the user tries to kiss the target. If it succeeds, the target falls asleep.",,75,10
Low Kick,Fighting,Physical,"A powerful low kick that makes the target fall over. The heavier the target, the greater the move’s power.",,100,20
Low Sweep,Fighting,Physical,"The user makes a swift attack on the target’s legs, which lowers the target’s Speed stat.",65,100,20
Lucky Chant,Normal,Status,"The user chants an incantation toward the sky, preventing opposing Pokémon from landing critical hits for five turns.",,,30
Lumina Crash,Psychic,Special,The user attacks by unleashing a peculiar light that even affects the mind. This also harshly lowers the target’s Sp. Def stat.,80,100,10
Lunar Blessing,Psychic,Status,"The user receives a blessing from the crescent moon, restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle.",,,5
Lunar Dance,Psychic,Status,"The user faints. In return, the Pokémon taking its place will have its HP and PP restored and its status conditions cured.",,,10
Lunge,Bug,Physical,"The user makes a lunge at the target, attacking with full force. This also lowers the target’s Attack stat.",80,100,15
Luster Purge,Psychic,Special,The user lets loose a damaging burst of light. This may also lower the target’s Sp. Def stat.,70,100,5
Mach Punch,Fighting,Physical,The user throws a punch at blinding speed. This move always goes first.,40,100,30
Magic Coat,Psychic,Status,Moves like Leech Seed and moves that inflict status conditions are blocked by a barrier and reflected back to the user of those moves.,,,15
Magic Powder,Psychic,Status,The user scatters a cloud of magic powder that changes the target’s type to Psychic.,,100,20
Magic Room,Psychic,Status,The user creates a bizarre area in which Pokémon’s held items lose their effects for five turns.,,,10
Magical Leaf,Grass,Special,The user scatters curious leaves that chase the target. This attack never misses.,60,,20
Magical Torque,Fairy,Physical,,100,100,10
Magma Storm,Fire,Special,The user traps the target inside a maelstrom of fire that inflicts damage for four to five turns.,100,75,5
Magnet Bomb,Steel,Physical,The user launches steel bombs that stick to the target. This attack never misses.,60,,20
Magnet Rise,Electric,Status,The user levitates using electrically generated magnetism for five turns.,,,10
Magnetic Flux,Electric,Status,"The user manipulates magnetic fields, which boosts the Defense and Sp. Def stats of ally Pokémon with the Plus Ability or the Minus Ability.",,,20
Magnitude,Ground,Physical,The user attacks everything around it with a ground-shaking quake. Its power varies.,,100,30
Make It Rain,Steel,Special,The user attacks by throwing out a mass of coins. This also lowers the user’s Sp. Atk stat. Money is earned after the battle.,120,100,5
Malicious Moonsault,Dark,Physical,"The user, Incineroar, strengthens its body using its Z-Power and crashes into the target with full force.",180,,1
Mat Block,Fighting,Status,"Using a pulled-up mat as a shield, the user protects itself and its allies from damaging moves. This does not stop status moves.",,,10
Matcha Gotcha,Grass,Special,The user fires a blast of tea that it mixed. The user's HP is restored by up to half the damage taken by the target. This may also leave the target with a burn.,80,90,15
Me First,Normal,Status,The user cuts ahead of the target to copy and use the target’s intended move with greater power. This move fails if it isn’t used first.,,,20
Mean Look,Normal,Status,"The user pins the target with a dark, arresting look. The target becomes unable to flee.",,,5
Meditate,Psychic,Status,The user meditates to awaken the power deep within its body and raise its Attack stat.,,,40
Mega Drain,Grass,Special,A nutrient-draining attack. The user’s HP is restored by up to half the damage taken by the target.,40,100,15
Mega Kick,Normal,Physical,The target is attacked by a kick launched with muscle-packed power.,120,75,5
Mega Punch,Normal,Physical,The target is slugged by a punch thrown with muscle-packed power.,80,85,20
Megahorn,Bug,Physical,"Using its tough and impressive horn, the user rams into the target with no letup.",120,85,10
Memento,Dark,Status,"The user faints. In return, the target’s Attack and Sp. Atk stats are harshly lowered.",,100,10
Menacing Moonraze Maelstrom,Ghost,Special,"After obtaining Z-Power, the user, Lunala, attacks the target with full force. This move can ignore the effect of the target’s Ability.",200,,1
Metal Burst,Steel,Physical,The user retaliates with much greater force against the opponent that last inflicted damage on it.,,100,10
Metal Claw,Steel,Physical,The target is raked with steel claws. This may also boost the user’s Attack stat.,50,95,35
Metal Sound,Steel,Status,A horrible sound like scraping metal harshly lowers the target’s Sp. Def stat.,,85,40
Meteor Assault,Fighting,Physical,"The user attacks wildly with its thick leek. The user can’t move on the next turn, because the force of this move makes it stagger.",150,100,5
Meteor Beam,Rock,Special,"The user gathers energy from space and boosts its Sp. Atk stat on the first turn, then attacks on the next turn.",120,90,10
Meteor Mash,Steel,Physical,The target is hit with a hard punch fired like a meteor. This may also boost the user’s Attack stat.,90,90,10
Metronome,Normal,Status,The user waggles a finger and stimulates its brain into randomly using nearly any move.,,,10
Milk Drink,Normal,Status,The user restores its own HP by up to half its max HP.,,,5
Mimic,Normal,Status,The user copies the move last used by the target. The copied move can be used until the user of Mimic leaves the battle.,,,10
Mind Blown,Fire,Special,The user attacks everything around it by causing its own head to explode. This also damages the user.,150,100,5
Mind Reader,Normal,Status,The user senses the target’s movements with its mind to ensure its next attack does not miss the target.,,,5
Minimize,Normal,Status,"The user compresses its body to make itself look smaller, which sharply boosts its evasiveness.",,,10
Miracle Eye,Psychic,Status,Enables a Dark-type target to be hit by Psychic-type attacks. This also enables an evasive target to be hit.,,,40
Mirror Coat,Psychic,Special,"A retaliatory attack that counters any special move, inflicting double the damage taken.",,100,20
Mirror Move,Flying,Status,The user counters the target by mimicking the target’s last move.,,,20
Mirror Shot,Steel,Special,The user lets loose a flash of energy at the target from its polished body. This may also lower the target’s accuracy.,65,85,10
Mist,Ice,Status,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.,,,30
Mist Ball,Psychic,Special,A mist-like flurry of down envelops and damages the target. This may also lower the target’s Sp. Atk stat.,70,100,5
Misty Explosion,Fairy,Special,The user attacks everything around it and faints upon using this move. This move’s power is boosted on Misty Terrain.,100,100,5
Misty Terrain,Fairy,Status,This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.,,,10
Moonblast,Fairy,Special,"Borrowing the power of the moon, the user attacks the target. This may also lower the target’s Sp. Atk stat.",95,100,15
Moongeist Beam,Ghost,Special,The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Ability.,100,100,5
Moonlight,Fairy,Status,The user restores its own HP. The amount of HP regained varies with the weather.,,,5
Morning Sun,Normal,Status,The user restores its own HP. The amount of HP regained varies with the weather.,,,5
Mortal Spin,Poison,Physical,"The user performs a spin attack that can also eliminate the effects of such moves as Bind, Wrap, and Leech Seed. This also poisons opposing Pokémon.",30,100,15
Mountain Gale,Ice,Physical,The user hurls giant chunks of ice at the target to inflict damage. This may also make the target flinch.,100,85,10
Mud Bomb,Ground,Special,The user launches a hard-packed mud ball to attack. This may also lower the target’s accuracy.,65,85,10
Mud Shot,Ground,Special,The user attacks by hurling a blob of mud at the target. This also lowers the target’s Speed stat.,55,95,15
Mud Sport,Ground,Status,The user kicks up mud on the battlefield. This weakens Electric-type moves for five turns.,,,15
Mud-Slap,Ground,Special,The user hurls mud in the target’s face to inflict damage and lower its accuracy.,20,100,10
Muddy Water,Water,Special,The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.,90,85,10
Multi-Attack,Normal,Physical,"Cloaking itself in powerful energy, the user slams into the target to inflict damage. This move’s type changes depending on the kind of memory disc held by the user.",120,100,10
Mystical Fire,Fire,Special,"The user attacks by breathing a special, hot fire. This also lowers the target’s Sp. Atk stat.",75,100,10
Mystical Power,Psychic,Special,The user attacks by emitting a mysterious power. This also boosts the user’s Sp. Atk stat.,70,90,10
Nasty Plot,Dark,Status,The user stimulates its brain by thinking bad thoughts. This sharply boosts the user’s Sp. Atk stat.,,,20
Natural Gift,Normal,Physical,The user draws power to attack by using its held Berry. The Berry determines the move’s type and power.,,100,15
Nature Power,Normal,Status,This attack makes use of nature’s power. Its effects vary depending on the user’s environment.,,,20
Nature's Madness,Fairy,Special,The user hits the target with the full wrath of nature. This cuts the target’s HP in half.,,90,10
Needle Arm,Grass,Physical,The user attacks by wildly swinging its thorny arms. This may also make the target flinch.,60,100,15
Night Daze,Dark,Special,The user looses a pitch-black shock wave at the target to inflict damage. This may also lower the target’s accuracy.,85,95,10
Night Shade,Ghost,Special,The user makes the target see a frightening mirage. It inflicts damage equal to the user’s level.,,100,15
Night Slash,Dark,Physical,The user slashes the target the instant an opportunity arises. This move has a heightened chance of landing a critical hit.,70,100,15
Nightmare,Ghost,Status,A sleeping target sees a nightmare that inflicts some damage every turn.,,100,15
No Retreat,Fighting,Status,This move boosts all the user’s stats but prevents the user from switching out or fleeing.,,,5
Noble Roar,Normal,Status,"Letting out a noble roar, the user intimidates the target and lowers the target’s Attack and Sp. Atk stats.",,100,30
Noxious Torque,Poison,Physical,,100,100,10
Nuzzle,Electric,Physical,The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.,20,100,20
Oblivion Wing,Flying,Special,The user absorbs the target’s HP. The user’s HP is restored by over half the damage taken by the target.,80,100,10
Obstruct,Dark,Status,This move enables the user to protect itself from all attacks. Its chance of failing rises if used in succession. Direct contact harshly lowers the attacker’s Defense stat.,,100,10
Oceanic Operetta,Water,Special,"The user, Primarina, summons a massive amount of water using its Z-Power and attacks the target with full force.",195,,1
Octazooka,Water,Special,The user attacks by spraying ink in the target’s face. This may also lower the target’s accuracy.,65,85,10
Octolock,Fighting,Status,The user locks the target in and prevents it from fleeing. This move also lowers the target’s Defense and Sp. Def every turn.,,100,15
Odor Sleuth,Normal,Status,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.,,,40
Ominous Wind,Ghost,Special,The user blasts the target with a gust of repulsive wind. This may also raise all the user’s stats at once.,60,100,5
Order Up,Dragon,Physical,"The user attacks with elegant poise. If the user has a Tatsugiri in its mouth, this move boosts one of the user’s stats based on the Tatsugiri’s form.",80,100,10
Origin Pulse,Water,Special,The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.,110,85,10
Outrage,Dragon,Physical,The user rampages and attacks for two to three turns. The user then becomes confused.,120,100,10
Overdrive,Electric,Special,"The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration.",80,100,10
Overheat,Fire,Special,The user attacks the target with all its might. The recoil from this move harshly lowers the user’s Sp. Atk stat.,130,90,5
Pain Split,Normal,Status,"The user adds its HP to the target’s HP, then equally splits the combined HP between the target and itself.",,,20
Parabolic Charge,Electric,Special,The user attacks everything around it. The user’s HP is restored by half the damage taken by those hit.,65,100,20
Parting Shot,Dark,Status,"With a parting threat, the user lowers the target’s Attack and Sp. Atk stats. Then it switches places with a party Pokémon in waiting.",,100,20
Pay Day,Normal,Physical,Coins are hurled at the target to inflict damage. Money is earned after the battle.,40,100,20
Payback,Dark,Physical,"The user stores power, then attacks. This move’s power is doubled if the user moves after the target.",50,100,10
Peck,Flying,Physical,The target is jabbed with a sharply pointed beak or horn to inflict damage.,35,100,35
Perish Song,Normal,Status,"Any Pokémon that hears this song faints in three turns, unless it switches out of battle.",,,5
Petal Blizzard,Grass,Physical,The user stirs up a violent petal blizzard and damages everything around it.,90,100,15
Petal Dance,Grass,Special,The user attacks the target by scattering petals for two to three turns. The user then becomes confused.,120,100,10
Phantom Force,Ghost,Physical,"The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself.",90,100,10
