name,form,unique_name,ndex,galar_dex,ioa_dex,ct_dex,paldea_dex,tm_dex,type1,type2,hp,atk,def,spa,spd,spe,egg_group1,egg_group2,gender_ratio,ability1,ability2,hidden_ability,egg_cycles,url
Scyther,,scyther,123,,118,,260,,Bug,Flying,70,110,80,55,80,105,Bug,,Equal,Swarm,Technician,Steadfast,25,https://pokemondb.net/pokedex/scyther
Jynx,,jynx,124,,,14,,,Ice,Psychic,65,50,35,115,95,95,Human-Like,,Female only,Oblivious,Forewarn,Dry Skin,25,https://pokemondb.net/pokedex/jynx
Electabuzz,,electabuzz,125,,,16,,,Electric,,65,83,57,95,85,105,Human-Like,,Male 3:1,Static,,Vital Spirit,25,https://pokemondb.net/pokedex/electabuzz
Magmar,,magmar,126,,,19,,,Fire,,65,95,57,100,85,93,Human-Like,,Male 3:1,Flame Body,,Vital Spirit,25,https://pokemondb.net/pokedex/magmar
Pinsir,,pinsir,127,,120,,,,Bug,,65,125,100,55,70,85,Bug,,Equal,Hyper Cutter,Mold Breaker,Moxie,25,https://pokemondb.net/pokedex/pinsir
Tauros,,tauros,128,,116,,223,,Normal,,75,100,95,40,70,110,Field,,Male only,Intimidate,Anger Point,Sheer Force,20,https://pokemondb.net/pokedex/tauros
Tauros,Combat Breed,tauros-combat,128,,116,,223,,Fighting,,75,110,105,30,70,100,Field,,Male only,Intimidate,Anger Point,Cud Chew,20,https://pokemondb.net/pokedex/tauros
Tauros,Blaze Breed,tauros-blaze,128,,116,,223,,Fighting,Fire,75,110,105,30,70,100,Field,,Male only,Intimidate,Anger Point,Cud Chew,20,https://pokemondb.net/pokedex/tauros
Tauros,Aqua Breed,tauros-aqua,128,,116,,223,,Fighting,Water,75,110,105,30,70,100,Field,,Male only,Intimidate,Anger Point,Cud Chew,20,https://pokemondb.net/pokedex/tauros
Magikarp,,magikarp,129,144,42,62,134,43,Water,,20,10,55,15,20,80,Dragon,Water 2,Equal,Swift Swim,,Rattled,5,https://pokemondb.net/pokedex/magikarp
Gyarados,,gyarados,130,145,43,63,135,44,Water,Flying,95,125,79,60,100,81,Dragon,Water 2,Equal,Intimidate,,Moxie,5,https://pokemondb.net/pokedex/gyarados
Lapras,,lapras,131,361,,190,,,Water,Ice,130,85,80,85,95,60,Monster,Water 1,Equal,Water Absorb,Shell Armor,Hydration,40,https://pokemondb.net/pokedex/lapras
Ditto,,ditto,132,373,207,,212,,Normal,,48,48,48,48,48,48,Ditto,,Genderless,Limber,,Imposter,20,https://pokemondb.net/pokedex/ditto
Eevee,,eevee,133,196,,74,179,,Normal,,55,55,50,45,65,55,Field,,Male 7:1,Run Away,Adaptability,Anticipation,35,https://pokemondb.net/pokedex/eevee
Vaporeon,,vaporeon,134,197,,75,180,,Water,,130,65,60,110,95,65,Field,,Male 7:1,Water Absorb,,Hydration,35,https://pokemondb.net/pokedex/vaporeon
Jolteon,,jolteon,135,198,,76,181,,Electric,,65,65,60,110,95,130,Field,,Male 7:1,Volt Absorb,,Quick Feet,35,https://pokemondb.net/pokedex/jolteon
Flareon,,flareon,136,199,,77,182,,Fire,,65,130,60,95,110,65,Field,,Male 7:1,Flash Fire,,Guts,35,https://pokemondb.net/pokedex/flareon
Porygon,,porygon,137,,208,,,,Normal,,65,60,70,85,75,40,Mineral,,Genderless,Trace,Download,Analytic,20,https://pokemondb.net/pokedex/porygon
Omanyte,,omanyte,138,,,123,,,Rock,Water,35,40,100,90,55,35,Water 1,Water 3,Male 7:1,Swift Swim,Shell Armor,Weak Armor,30,https://pokemondb.net/pokedex/omanyte
Omastar,,omastar,139,,,124,,,Rock,Water,70,60,125,115,70,55,Water 1,Water 3,Male 7:1,Swift Swim,Shell Armor,Weak Armor,30,https://pokemondb.net/pokedex/omastar
Kabuto,,kabuto,140,,,125,,,Rock,Water,30,80,90,55,45,55,Water 1,Water 3,Male 7:1,Swift Swim,Battle Armor,Weak Armor,30,https://pokemondb.net/pokedex/kabuto
Kabutops,,kabutops,141,,,126,,,Rock,Water,60,115,105,65,70,80,Water 1,Water 3,Male 7:1,Swift Swim,Battle Armor,Weak Armor,30,https://pokemondb.net/pokedex/kabutops
Aerodactyl,,aerodactyl,142,,,127,,,Rock,Flying,80,105,65,60,75,130,Flying,,Male 7:1,Rock Head,Pressure,Unnerve,35,https://pokemondb.net/pokedex/aerodactyl
Snorlax,,snorlax,143,261,,173,,103,Normal,,160,110,65,65,110,30,Monster,,Male 7:1,Immunity,Thick Fat,Gluttony,40,https://pokemondb.net/pokedex/snorlax
Articuno,,articuno,144,,,202,,,Ice,Flying,90,85,100,95,125,85,Undiscovered,,Genderless,Pressure,,Snow Cloak,80,https://pokemondb.net/pokedex/articuno
Articuno,Galarian Articuno,articuno-galar,144,,,202,,,Psychic,Flying,90,85,85,125,100,95,Undiscovered,,Genderless,Competitive,,,80,https://pokemondb.net/pokedex/articuno
Zapdos,,zapdos,145,,,203,,,Electric,Flying,90,90,85,125,90,100,Undiscovered,,Genderless,Pressure,,Static,80,https://pokemondb.net/pokedex/zapdos
Zapdos,Galarian Zapdos,zapdos-galar,145,,,203,,,Fighting,Flying,90,125,90,85,90,100,Undiscovered,,Genderless,Defiant,,,80,https://pokemondb.net/pokedex/zapdos
Moltres,,moltres,146,,,204,,,Fire,Flying,90,100,90,125,85,90,Undiscovered,,Genderless,Pressure,,Flame Body,80,https://pokemondb.net/pokedex/moltres
Moltres,Galarian Moltres,moltres-galar,146,,,204,,,Dark,Flying,90,85,90,100,125,90,Undiscovered,,Genderless,Berserk,,,80,https://pokemondb.net/pokedex/moltres
Dratini,,dratini,147,,,194,347,,Dragon,,41,64,45,50,50,50,Dragon,Water 1,Equal,Shed Skin,,Marvel Scale,40,https://pokemondb.net/pokedex/dratini
Dragonair,,dragonair,148,,,195,348,,Dragon,,61,84,65,70,70,70,Dragon,Water 1,Equal,Shed Skin,,Marvel Scale,40,https://pokemondb.net/pokedex/dragonair
Dragonite,,dragonite,149,,,196,349,,Dragon,Flying,91,134,95,100,100,80,Dragon,Water 1,Equal,Inner Focus,,Multiscale,40,https://pokemondb.net/pokedex/dragonite
Mewtwo,,mewtwo,150,,,,,,Psychic,,106,110,90,154,90,130,Undiscovered,,Genderless,Pressure,,Unnerve,120,https://pokemondb.net/pokedex/mewtwo
Mew,,mew,151,,,,,,Psychic,,100,100,100,100,100,100,Undiscovered,,Genderless,Synchronize,,,120,https://pokemondb.net/pokedex/mew
Chikorita,,chikorita,152,,,,,,Grass,,45,49,65,49,65,45,Grass,Monster,Male 7:1,Overgrow,,Leaf Guard,20,https://pokemondb.net/pokedex/chikorita
Bayleef,,bayleef,153,,,,,,Grass,,60,62,80,63,80,60,Grass,Monster,Male 7:1,Overgrow,,Leaf Guard,20,https://pokemondb.net/pokedex/bayleef
Meganium,,meganium,154,,,,,,Grass,,80,82,100,83,100,80,Grass,Monster,Male 7:1,Overgrow,,Leaf Guard,20,https://pokemondb.net/pokedex/meganium
Cyndaquil,,cyndaquil,155,,,,,,Fire,,39,52,43,60,50,65,Field,,Male 7:1,Blaze,,Flash Fire,20,https://pokemondb.net/pokedex/cyndaquil
Quilava,,quilava,156,,,,,,Fire,,58,64,58,80,65,80,Field,,Male 7:1,Blaze,,Flash Fire,20,https://pokemondb.net/pokedex/quilava
Typhlosion,,typhlosion,157,,,,,,Fire,,78,84,78,109,85,100,Field,,Male 7:1,Blaze,,Flash Fire,20,https://pokemondb.net/pokedex/typhlosion
Typhlosion,Hisuian Typhlosion,typhlosion-hisui,157,,,,,,Fire,Ghost,73,84,78,119,85,95,Field,,Male 7:1,Blaze,,Frisk,20,https://pokemondb.net/pokedex/typhlosion
Totodile,,totodile,158,,,,,,Water,,50,65,64,44,48,43,Monster,Water 1,Male 7:1,Torrent,,Sheer Force,20,https://pokemondb.net/pokedex/totodile
Croconaw,,croconaw,159,,,,,,Water,,65,80,80,59,63,58,Monster,Water 1,Male 7:1,Torrent,,Sheer Force,20,https://pokemondb.net/pokedex/croconaw
Feraligatr,,feraligatr,160,,,,,,Water,,85,105,100,79,83,78,Monster,Water 1,Male 7:1,Torrent,,Sheer Force,20,https://pokemondb.net/pokedex/feraligatr
Sentret,,sentret,161,,,,,26,Normal,,35,46,34,35,45,20,Field,,Equal,Run Away,Keen Eye,Frisk,15,https://pokemondb.net/pokedex/sentret
Furret,,furret,162,,,,,27,Normal,,85,76,64,45,55,90,Field,,Equal,Run Away,Keen Eye,Frisk,15,https://pokemondb.net/pokedex/furret
Hoothoot,,hoothoot,163,19,,,,45,Normal,Flying,60,30,30,36,56,50,Flying,,Equal,Insomnia,Keen Eye,Tinted Lens,15,https://pokemondb.net/pokedex/hoothoot
Noctowl,,noctowl,164,20,,,,46,Normal,Flying,100,50,50,86,96,70,Flying,,Equal,Insomnia,Keen Eye,Tinted Lens,15,https://pokemondb.net/pokedex/noctowl
Ledyba,,ledyba,165,,,,,,Bug,Flying,40,20,30,40,80,55,Bug,,Equal,Swarm,Early Bird,Rattled,15,https://pokemondb.net/pokedex/ledyba
Ledian,,ledian,166,,,,,,Bug,Flying,55,35,50,55,110,85,Bug,,Equal,Swarm,Early Bird,Iron Fist,15,https://pokemondb.net/pokedex/ledian
Spinarak,,spinarak,167,,,,,1,Bug,Poison,40,60,40,40,40,30,Bug,,Equal,Swarm,Insomnia,Sniper,15,https://pokemondb.net/pokedex/spinarak
Ariados,,ariados,168,,,,,2,Bug,Poison,70,90,70,60,70,40,Bug,,Equal,Swarm,Insomnia,Sniper,15,https://pokemondb.net/pokedex/ariados
Crobat,,crobat,169,,,146,,,Poison,Flying,85,90,80,70,80,130,Flying,,Equal,Inner Focus,,Infiltrator,15,https://pokemondb.net/pokedex/crobat
Chinchou,,chinchou,170,220,188,,,,Water,Electric,75,38,38,56,56,67,Water 2,,Equal,Volt Absorb,Illuminate,Water Absorb,20,https://pokemondb.net/pokedex/chinchou
Lanturn,,lanturn,171,221,189,,,,Water,Electric,125,58,58,76,76,67,Water 2,,Equal,Volt Absorb,Illuminate,Water Absorb,20,https://pokemondb.net/pokedex/lanturn
Pichu,,pichu,172,193,84,,73,20,Electric,,20,40,15,35,35,60,Undiscovered,,Equal,Static,,Lightning Rod,10,https://pokemondb.net/pokedex/pichu
Cleffa,,cleffa,173,254,,43,,151,Fairy,,50,25,28,45,55,15,Undiscovered,,Female 3:1,Cute Charm,Magic Guard,Friend Guard,10,https://pokemondb.net/pokedex/cleffa
Igglybuff,,igglybuff,174,,11,,59,,Normal,Fairy,90,30,15,40,20,15,Undiscovered,,Female 3:1,Cute Charm,Competitive,Friend Guard,10,https://pokemondb.net/pokedex/igglybuff
Togepi,,togepi,175,257,,,,,Fairy,,35,20,65,40,65,20,Undiscovered,,Male 7:1,Hustle,Serene Grace,Super Luck,10,https://pokemondb.net/pokedex/togepi
Togetic,,togetic,176,258,,,,,Fairy,Flying,55,40,85,80,105,40,Fairy,Flying,Male 7:1,Hustle,Serene Grace,Super Luck,10,https://pokemondb.net/pokedex/togetic
Natu,,natu,177,92,,,,,Psychic,Flying,40,50,45,70,45,70,Flying,,Equal,Synchronize,Early Bird,Magic Bounce,20,https://pokemondb.net/pokedex/natu
Xatu,,xatu,178,93,,,,,Psychic,Flying,65,75,70,95,70,95,Flying,,Equal,Synchronize,Early Bird,Magic Bounce,20,https://pokemondb.net/pokedex/xatu
Mareep,,mareep,179,,,,101,,Electric,,55,40,40,65,45,35,Field,Monster,Equal,Static,,Plus,20,https://pokemondb.net/pokedex/mareep
Flaaffy,,flaaffy,180,,,,102,,Electric,,70,55,55,80,60,45,Field,Monster,Equal,Static,,Plus,20,https://pokemondb.net/pokedex/flaaffy
Ampharos,,ampharos,181,,,,103,,Electric,,90,75,85,115,90,55,Field,Monster,Equal,Static,,Plus,20,https://pokemondb.net/pokedex/ampharos
Bellossom,,bellossom,182,58,,,,,Grass,,75,80,95,90,100,50,Grass,,Equal,Chlorophyll,,Healer,20,https://pokemondb.net/pokedex/bellossom
Marill,,marill,183,,140,,47,,Water,Fairy,70,20,50,20,50,40,Fairy,Water 1,Equal,Thick Fat,Huge Power,Sap Sipper,10,https://pokemondb.net/pokedex/marill
Azumarill,,azumarill,184,,141,,48,,Water,Fairy,100,50,80,60,80,50,Fairy,Water 1,Equal,Thick Fat,Huge Power,Sap Sipper,10,https://pokemondb.net/pokedex/azumarill
Sudowoodo,,sudowoodo,185,253,,,88,84,Rock,,70,100,115,30,65,30,Mineral,,Equal,Sturdy,Rock Head,Rattled,20,https://pokemondb.net/pokedex/sudowoodo
Politoed,,politoed,186,,145,,,42,Water,,90,75,75,90,100,70,Water 1,,Equal,Water Absorb,Damp,Drizzle,20,https://pokemondb.net/pokedex/politoed
Hoppip,,hoppip,187,,,,16,,Grass,Flying,35,35,40,35,55,50,Fairy,Grass,Equal,Chlorophyll,Leaf Guard,Infiltrator,20,https://pokemondb.net/pokedex/hoppip
Skiploom,,skiploom,188,,,,17,,Grass,Flying,55,45,50,45,65,80,Fairy,Grass,Equal,Chlorophyll,Leaf Guard,Infiltrator,20,https://pokemondb.net/pokedex/skiploom
Jumpluff,,jumpluff,189,,,,18,,Grass,Flying,75,55,70,55,95,110,Fairy,Grass,Equal,Chlorophyll,Leaf Guard,Infiltrator,20,https://pokemondb.net/pokedex/jumpluff
Aipom,,aipom,190,,,,,47,Normal,,55,70,55,40,55,85,Field,,Equal,Run Away,Pickup,Skill Link,20,https://pokemondb.net/pokedex/aipom
Sunkern,,sunkern,191,,,,31,,Grass,,30,30,30,30,30,30,Grass,,Equal,Chlorophyll,Solar Power,Early Bird,20,https://pokemondb.net/pokedex/sunkern
Sunflora,,sunflora,192,,,,32,,Grass,,75,75,55,105,85,30,Grass,,Equal,Chlorophyll,Solar Power,Early Bird,20,https://pokemondb.net/pokedex/sunflora
Yanma,,yanma,193,,,,,3,Bug,Flying,65,65,45,75,45,95,Bug,,Equal,Speed Boost,Compound Eyes,Frisk,20,https://pokemondb.net/pokedex/yanma
Wooper,,wooper,194,100,58,,53,5,Water,Ground,55,45,45,25,25,15,Field,Water 1,Equal,Damp,Water Absorb,Unaware,20,https://pokemondb.net/pokedex/wooper
Wooper,Paldean Wooper,wooper-paldea,194,100,58,,53,5,Poison,Ground,55,45,45,25,25,15,Field,Water 1,Equal,Poison Point,Water Absorb,Unaware,20,https://pokemondb.net/pokedex/wooper
Quagsire,,quagsire,195,101,59,,,6,Water,Ground,95,85,85,65,65,35,Field,Water 1,Equal,Damp,Water Absorb,Unaware,20,https://pokemondb.net/pokedex/quagsire
Espeon,,espeon,196,200,,79,183,,Psychic,,65,65,60,130,95,110,Field,,Male 7:1,Synchronize,,Magic Bounce,35,https://pokemondb.net/pokedex/espeon
Umbreon,,umbreon,197,201,,78,184,,Dark,,95,65,110,60,130,65,Field,,Male 7:1,Synchronize,,Inner Focus,35,https://pokemondb.net/pokedex/umbreon
Murkrow,,murkrow,198,,,,232,,Dark,Flying,60,85,42,85,42,91,Flying,,Equal,Insomnia,Super Luck,Prankster,20,https://pokemondb.net/pokedex/murkrow
Slowking,,slowking,199,,3,,326,,Water,Psychic,95,75,80,100,110,30,Monster,Water 1,Equal,Oblivious,Own Tempo,Regenerator,20,https://pokemondb.net/pokedex/slowking
Slowking,Galarian Slowking,slowking-galar,199,,3,,326,,Poison,Psychic,95,65,80,110,110,30,Monster,Water 1,Equal,Curious Medicine,Own Tempo,Regenerator,20,https://pokemondb.net/pokedex/slowking
Misdreavus,,misdreavus,200,,,,114,,Ghost,,60,60,60,85,85,85,Amorphous,,Equal,Levitate,,,25,https://pokemondb.net/pokedex/misdreavus
Unown,,unown,201,,,,,,Psychic,,48,72,48,72,48,48,Undiscovered,,Genderless,Levitate,,,40,https://pokemondb.net/pokedex/unown
Wobbuffet,,wobbuffet,202,217,,,,,Psychic,,190,33,58,33,58,33,Amorphous,,Equal,Shadow Tag,,Telepathy,20,https://pokemondb.net/pokedex/wobbuffet
Girafarig,,girafarig,203,,,,192,,Normal,Psychic,70,80,65,90,65,85,Field,,Equal,Inner Focus,Early Bird,Sap Sipper,20,https://pokemondb.net/pokedex/girafarig
Pineco,,pineco,204,,,,258,,Bug,,50,65,90,35,35,15,Bug,,Equal,Sturdy,,Overcoat,20,https://pokemondb.net/pokedex/pineco
Forretress,,forretress,205,,,,259,,Bug,Steel,75,90,140,60,60,40,Bug,,Equal,Sturdy,,Overcoat,20,https://pokemondb.net/pokedex/forretress
Dunsparce,,dunsparce,206,,52,,188,160,Normal,,100,70,70,65,65,45,Field,,Equal,Serene Grace,Run Away,Rattled,20,https://pokemondb.net/pokedex/dunsparce
Gligar,,gligar,207,,,,,121,Ground,Flying,65,75,105,35,65,85,Bug,,Equal,Hyper Cutter,Sand Veil,Immunity,20,https://pokemondb.net/pokedex/gligar
Steelix,,steelix,208,179,,,,,Steel,Ground,75,85,200,55,65,30,Mineral,,Equal,Rock Head,Sturdy,Sheer Force,25,https://pokemondb.net/pokedex/steelix
Snubbull,,snubbull,209,,,,,,Fairy,,60,80,50,40,40,30,Fairy,Field,Female 3:1,Intimidate,Run Away,Rattled,20,https://pokemondb.net/pokedex/snubbull
Granbull,,granbull,210,,,,,,Fairy,,90,120,75,60,60,45,Fairy,Field,Female 3:1,Intimidate,Quick Feet,Rattled,20,https://pokemondb.net/pokedex/granbull
Qwilfish,,qwilfish,211,304,,,331,,Water,Poison,65,95,85,55,55,85,Water 2,,Equal,Poison Point,Swift Swim,Intimidate,20,https://pokemondb.net/pokedex/qwilfish
Qwilfish,Hisuian Qwilfish,qwilfish-hisui,211,304,,,331,,Dark,Poison,65,95,85,55,55,85,Water 2,,Equal,Poison Point,Swift Swim,Intimidate,20,https://pokemondb.net/pokedex/qwilfish
Scizor,,scizor,212,,119,,261,,Bug,Steel,70,130,100,55,80,65,Bug,,Equal,Swarm,Technician,Light Metal,25,https://pokemondb.net/pokedex/scizor
Shuckle,,shuckle,213,227,,170,,,Bug,Rock,20,10,230,10,230,5,Bug,,Equal,Sturdy,Gluttony,Contrary,20,https://pokemondb.net/pokedex/shuckle
Heracross,,heracross,214,,121,,262,49,Bug,Fighting,80,125,75,40,95,85,Bug,,Equal,Swarm,Guts,Moxie,25,https://pokemondb.net/pokedex/heracross
Sneasel,,sneasel,215,292,,28,230,170,Dark,Ice,55,95,55,35,75,115,Field,,Equal,Inner Focus,Keen Eye,Pickpocket,20,https://pokemondb.net/pokedex/sneasel
Sneasel,Hisuian Sneasel,sneasel-hisui,215,292,,28,230,170,Fighting,Poison,55,95,55,35,75,115,Field,,Equal,Inner Focus,Keen Eye,Pickpocket,20,https://pokemondb.net/pokedex/sneasel
Teddiursa,,teddiursa,216,,,,215,,Normal,,60,80,50,50,50,40,Field,,Equal,Pickup,Quick Feet,Honey Gather,20,https://pokemondb.net/pokedex/teddiursa
Ursaring,,ursaring,217,,,,216,,Normal,,90,130,75,75,75,55,Field,,Equal,Guts,Quick Feet,Unnerve,20,https://pokemondb.net/pokedex/ursaring
Slugma,,slugma,218,,,,,144,Fire,,40,40,40,70,40,20,Amorphous,,Equal,Magma Armor,Flame Body,Weak Armor,20,https://pokemondb.net/pokedex/slugma
Magcargo,,magcargo,219,,,,,145,Fire,Rock,60,50,120,90,80,30,Amorphous,,Equal,Magma Armor,Flame Body,Weak Armor,20,https://pokemondb.net/pokedex/magcargo
Swinub,,swinub,220,75,,7,,50,Ice,Ground,50,50,40,30,30,50,Field,,Equal,Oblivious,Snow Cloak,Thick Fat,20,https://pokemondb.net/pokedex/swinub
Piloswine,,piloswine,221,76,,8,,51,Ice,Ground,100,100,80,60,60,50,Field,,Equal,Oblivious,Snow Cloak,Thick Fat,20,https://pokemondb.net/pokedex/piloswine
Corsola,,corsola,222,236,,,,,Water,Rock,65,55,95,65,95,35,Water 1,Water 3,Female 3:1,Hustle,Natural Cure,Regenerator,20,https://pokemondb.net/pokedex/corsola
Corsola,Galarian Corsola,corsola-galar,222,236,,,,,Ghost,,60,55,100,65,100,30,Water 1,Water 3,Female 3:1,Weak Armor,,Cursed Body,20,https://pokemondb.net/pokedex/corsola
Remoraid,,remoraid,223,148,44,,,,Water,,35,65,35,65,35,65,Water 1,Water 2,Equal,Hustle,Sniper,Moody,20,https://pokemondb.net/pokedex/remoraid
Octillery,,octillery,224,149,45,,,,Water,,75,105,75,105,75,45,Water 1,Water 2,Equal,Suction Cups,Sniper,Moody,20,https://pokemondb.net/pokedex/octillery
Delibird,,delibird,225,78,,120,354,,Ice,Flying,45,55,45,65,45,75,Field,Water 1,Equal,Vital Spirit,Hustle,Insomnia,20,https://pokemondb.net/pokedex/delibird
Mantine,,mantine,226,355,47,,,,Water,Flying,85,40,70,80,140,70,Water 1,,Equal,Swift Swim,Water Absorb,Water Veil,25,https://pokemondb.net/pokedex/mantine
Skarmory,,skarmory,227,,153,,,,Steel,Flying,65,80,140,40,70,70,Flying,,Equal,Keen Eye,Sturdy,Weak Armor,25,https://pokemondb.net/pokedex/skarmory
Houndour,,houndour,228,,,,25,123,Dark,Fire,45,60,30,80,50,65,Field,,Equal,Early Bird,Flash Fire,Unnerve,20,https://pokemondb.net/pokedex/houndour
Houndoom,,houndoom,229,,,,26,124,Dark,Fire,75,90,50,110,80,95,Field,,Equal,Early Bird,Flash Fire,Unnerve,20,https://pokemondb.net/pokedex/houndoom
Kingdra,,kingdra,230,,200,,,,Water,Dragon,75,95,95,95,95,85,Dragon,Water 1,Equal,Swift Swim,Sniper,Damp,20,https://pokemondb.net/pokedex/kingdra
Phanpy,,phanpy,231,,,,122,,Ground,,90,60,60,40,40,40,Field,,Equal,Pickup,,Sand Veil,20,https://pokemondb.net/pokedex/phanpy
Donphan,,donphan,232,,,,123,,Ground,,90,120,120,60,60,50,Field,,Equal,Sturdy,,Sand Veil,20,https://pokemondb.net/pokedex/donphan
Porygon2,,porygon2,233,,209,,,,Normal,,85,80,90,105,95,60,Mineral,,Genderless,Trace,Download,Analytic,20,https://pokemondb.net/pokedex/porygon2
Stantler,,stantler,234,,,,204,53,Normal,,73,95,62,85,65,85,Field,,Equal,Intimidate,Frisk,Sap Sipper,20,https://pokemondb.net/pokedex/stantler
Smeargle,,smeargle,235,,,,,,Normal,,55,20,35,20,45,75,Field,,Equal,Own Tempo,Technician,Moody,20,https://pokemondb.net/pokedex/smeargle
Tyrogue,,tyrogue,236,107,,,,,Fighting,,35,35,35,35,35,35,Undiscovered,,Male only,Guts,Steadfast,Vital Spirit,25,https://pokemondb.net/pokedex/tyrogue
Hitmontop,,hitmontop,237,110,,,,,Fighting,,50,95,95,35,110,70,Human-Like,,Male only,Intimidate,Technician,Steadfast,25,https://pokemondb.net/pokedex/hitmontop
Smoochum,,smoochum,238,,,13,,,Ice,Psychic,45,30,15,85,65,65,Undiscovered,,Female only,Oblivious,Forewarn,Hydration,25,https://pokemondb.net/pokedex/smoochum
Elekid,,elekid,239,,,15,,,Electric,,45,63,37,65,55,95,Undiscovered,,Male 3:1,Static,,Vital Spirit,25,https://pokemondb.net/pokedex/elekid
Magby,,magby,240,,,18,,,Fire,,45,75,37,70,55,83,Undiscovered,,Male 3:1,Flame Body,,Vital Spirit,25,https://pokemondb.net/pokedex/magby
Miltank,,miltank,241,,117,,,,Normal,,95,80,105,40,70,100,Field,,Female only,Thick Fat,Scrappy,Sap Sipper,20,https://pokemondb.net/pokedex/miltank
Blissey,,blissey,242,,8,,45,,Normal,,255,10,10,75,135,55,Fairy,,Female only,Natural Cure,Serene Grace,Healer,40,https://pokemondb.net/pokedex/blissey
Raikou,,raikou,243,,,,,,Electric,,90,85,75,115,100,115,Undiscovered,,Genderless,Pressure,,Inner Focus,80,https://pokemondb.net/pokedex/raikou
Entei,,entei,244,,,,,,Fire,,115,115,85,90,75,100,Undiscovered,,Genderless,Pressure,,Inner Focus,80,https://pokemondb.net/pokedex/entei
Suicune,,suicune,245,,,,,,Water,,100,75,115,90,115,85,Undiscovered,,Genderless,Pressure,,Inner Focus,80,https://pokemondb.net/pokedex/suicune
Larvitar,,larvitar,246,383,,139,316,,Rock,Ground,50,64,50,45,50,41,Monster,,Equal,Guts,,Sand Veil,40,https://pokemondb.net/pokedex/larvitar
Pupitar,,pupitar,247,384,,140,317,,Rock,Ground,70,84,70,65,70,51,Monster,,Equal,Shed Skin,,,40,https://pokemondb.net/pokedex/pupitar
Tyranitar,,tyranitar,248,385,,141,318,,Rock,Dark,100,134,110,95,100,61,Monster,,Equal,Sand Stream,,Unnerve,40,https://pokemondb.net/pokedex/tyranitar
Lugia,,lugia,249,,,,,,Psychic,Flying,106,90,130,90,154,110,Undiscovered,,Genderless,Pressure,,Multiscale,120,https://pokemondb.net/pokedex/lugia
Ho-oh,,ho-oh,250,,,,,,Fire,Flying,106,130,90,110,154,90,Undiscovered,,Genderless,Pressure,,Regenerator,120,https://pokemondb.net/pokedex/ho-oh
Celebi,,celebi,251,,,,,,Psychic,Grass,100,100,100,100,100,100,Undiscovered,,Genderless,Natural Cure,,,120,https://pokemondb.net/pokedex/celebi
Treecko,,treecko,252,,,,,,Grass,,40,45,35,65,55,70,Dragon,Monster,Male 7:1,Overgrow,,Unburden,20,https://pokemondb.net/pokedex/treecko
Grovyle,,grovyle,253,,,,,,Grass,,50,65,45,85,65,95,Dragon,Monster,Male 7:1,Overgrow,,Unburden,20,https://pokemondb.net/pokedex/grovyle
Sceptile,,sceptile,254,,,,,,Grass,,70,85,65,105,85,120,Dragon,Monster,Male 7:1,Overgrow,,Unburden,20,https://pokemondb.net/pokedex/sceptile
Torchic,,torchic,255,,,,,,Fire,,45,60,40,70,50,45,Field,,Male 7:1,Blaze,,Speed Boost,20,https://pokemondb.net/pokedex/torchic
Combusken,,combusken,256,,,,,,Fire,Fighting,60,85,60,85,60,55,Field,,Male 7:1,Blaze,,Speed Boost,20,https://pokemondb.net/pokedex/combusken
Blaziken,,blaziken,257,,,,,,Fire,Fighting,80,120,70,110,70,80,Field,,Male 7:1,Blaze,,Speed Boost,20,https://pokemondb.net/pokedex/blaziken
Mudkip,,mudkip,258,,,,,,Water,,50,70,50,50,50,40,Monster,Water 1,Male 7:1,Torrent,,Damp,20,https://pokemondb.net/pokedex/mudkip
Marshtomp,,marshtomp,259,,,,,,Water,Ground,70,85,70,60,70,50,Monster,Water 1,Male 7:1,Torrent,,Damp,20,https://pokemondb.net/pokedex/marshtomp
Swampert,,swampert,260,,,,,,Water,Ground,100,110,90,85,90,60,Monster,Water 1,Male 7:1,Torrent,,Damp,20,https://pokemondb.net/pokedex/swampert
Poochyena,,poochyena,261,,,,,7,Dark,,35,55,35,30,30,35,Field,,Equal,Run Away,Quick Feet,Rattled,15,https://pokemondb.net/pokedex/poochyena
Mightyena,,mightyena,262,,,,,8,Dark,,70,90,70,60,60,70,Field,,Equal,Intimidate,Quick Feet,Moxie,15,https://pokemondb.net/pokedex/mightyena
Zigzagoon,,zigzagoon,263,31,,71,,,Normal,,38,30,41,30,41,60,Field,,Equal,Pickup,Gluttony,Quick Feet,15,https://pokemondb.net/pokedex/zigzagoon
Zigzagoon,Galarian Zigzagoon,zigzagoon-galar,263,31,,71,,,Dark,Normal,38,30,41,30,41,60,Field,,Equal,Pickup,Gluttony,Quick Feet,15,https://pokemondb.net/pokedex/zigzagoon
Linoone,,linoone,264,32,,72,,,Normal,,78,70,61,50,61,100,Field,,Equal,Pickup,Gluttony,Quick Feet,15,https://pokemondb.net/pokedex/linoone
Linoone,Galarian Linoone,linoone-galar,264,32,,72,,,Dark,Normal,78,70,61,50,61,100,Field,,Equal,Pickup,Gluttony,Quick Feet,15,https://pokemondb.net/pokedex/linoone
Wurmple,,wurmple,265,,,,,,Bug,,45,45,35,20,30,20,Bug,,Equal,Shield Dust,,Run Away,15,https://pokemondb.net/pokedex/wurmple
